ANO;AGREGACAO;CODIGO;NOME;IDHM;IDHM_L;IDHM_E;IDHM_R;I_ESCOLARIDADE;I_FREQ_PROP;IDHMAD;IDHMAD_L;IDHMAD_E;IDHMAD_R;ATK_ESPVIDA;ATK_ANOSEST;ATK_RDPC;IDHMAD_PERDA;IDHMAD_L_PERDA;IDHMAD_E_PERDA;IDHMAD_R_PERDA;IDHMAD_COEF;ESPVIDA;MORT1;T_ENV;RAZDEP;T_FREQ5A6;T_FUND11A13;T_FUND15A17;T_MED18A20;T_FUND18M;ANOSEST;T_ANALF15M;T_ANALF18M;T_ANALF25M;T_FREQ6A14;T_FREQ15A17;T_FREQ18A24;T_FUND18A24;T_FUND25M;T_MED25M;T_SUPER25M;T_ATRASO_2_BASICO;T_ATRASO_2_FUND;T_FLBAS;T_FLFUND;T_FLMED;T_FLSUPER;RDPC;RDPCT;RENOCUP;PRENTRAB;RDPC1;RDPC2;RDPC3;RDPC4;RDPC5;RDPC10;R1040;R2040;GINI;THEIL;PIND;PMPOB;PPOB;RIND;RMPOB;RPOB;POPTOT;POP;POPT;POP5A6;POP6A14;POP6A17;POP11A13;POP15A17;POP15M;POP18A20;POP18A24;POP18M;POP25M;POP65M;POPOCUP18M
2012;UF;11;Rondônia;0.694;0.758;0.637;0.692;0.573;0.672;0.53;0.661;0.496;0.453;0.128;0.222;0.345;23.7;12.8;22.2;34.5;23.2;70.5;21.93;4.7;47.68;86.56;75.16;60.36;46.78;57.27;7.76;7.93;8.59;10.41;96.67;81.5;30.38;80.9;51.42;34.46;8.46;19.56;15.82;81.82;84.22;41.08;14.46;593.78;600.08;1152.67;81.03;117.65;250.12;396.22;620.74;1588.63;2225.09;12.1;8.64;0.487;0.416;4.12;12.32;30.85;33.71;86.42;154.33;1628074;1627700;1610629;63480;278270;376608;97777;98337;1178946;95589;214469;1080609;866139;76506;671531
2012;UF;12;Acre;0.701;0.791;0.649;0.67;0.59;0.681;0.502;0.698;0.467;0.387;0.118;0.281;0.422;28.4;11.8;28.1;42.2;27.4;72.47;20.21;4.35;59.71;82.55;78.36;60.46;51.04;59.04;7.72;13.48;14.72;18.22;97.14;82.87;28.95;77.11;53.95;38.07;10.74;20.33;18.04;85.71;88.3;46.9;13.34;516.75;524.74;1187.5;79.8;68.06;172.03;283.53;493.93;1572.44;2265.02;18.87;13.1;0.566;0.585;10.04;23.77;46.82;36.19;78.2;136.9;777461;776990;765148;35903;159815;213475;56740;53660;520588;45038;102639;466927;364288;33783;268210
2012;UF;13;Amazonas;0.691;0.764;0.632;0.683;0.613;0.642;0.512;0.668;0.504;0.398;0.126;0.202;0.417;25.9;12.6;20.2;41.7;24.8;70.85;20.88;4.79;57.99;87.38;80.8;51.45;37.06;61.27;8.63;7.22;7.89;9.46;96.75;82.12;36.02;74.49;57.68;44.45;8.86;22;17.88;91.75;94.18;44.3;13.77;559.44;567.63;1248.98;79.72;78.52;177.97;291.23;485.5;1761.45;2732.1;21.3;13.74;0.589;0.619;7.89;22.23;44.9;40.14;84.39;140.52;3540643;3537272;3486238;149691;718386;950932;236394;232546;2410643;205482;465298;2178096;1712798;169573;1253397
2012;UF;14;Roraima;0.738;0.752;0.746;0.717;0.719;0.76;0.558;0.667;0.604;0.432;0.113;0.191;0.397;24.4;11.3;19.1;39.7;23.4;70.1;18.08;3.55;56.34;95.16;88.84;66.49;53.31;71.88;9.59;6.4;7.07;8.91;99.29;85.41;31.83;87.44;67.34;54.07;14.02;19.83;16.35;93.6;96.15;56.08;19.77;691.06;701.25;1482.88;84.73;110.55;236.94;391.02;652.74;2071.41;3003.94;17.29;11.92;0.549;0.528;4.8;13.02;32.59;34.99;85.59;151.56;426804;426516;420324;16157;82889;110266;28917;27376;288156;27356;58906;260779;201872;15164;167191
2012;UF;15;Pará;0.666;0.771;0.583;0.658;0.537;0.608;0.501;0.679;0.456;0.405;0.119;0.217;0.385;24.9;11.9;21.7;38.5;24;71.23;19.04;4.98;55.55;89.41;74.52;46.43;32.86;53.73;7.6;10.21;11.08;13.39;97.31;86.24;31.17;70.17;49.29;34.02;6.46;32.4;28.21;91.82;94.54;39.99;8.28;478.8;482.15;999.48;78.74;79.21;177.03;284.44;472.73;1379.07;2007.76;15.67;10.76;0.533;0.51;7.69;21.74;45.02;42.79;83.88;140.44;7920522;7910095;7855187;331471;1489590;1977069;509583;487479;5485957;474872;1064310;4998478;3934167;394057;2959605
2012;UF;16;Amapá;0.707;0.796;0.659;0.673;0.67;0.653;0.542;0.687;0.538;0.43;0.137;0.184;0.361;23.4;13.7;18.4;36.1;22.7;72.77;24.33;3.21;58.58;79.15;77.07;60.45;44.41;66.97;9.09;5.76;6.37;7.93;96.46;86.66;33.9;83.31;61.9;48.92;11.66;29.3;26.72;92.08;93.18;51.71;14.48;528.23;531.43;1209.35;85.18;97.75;193.93;298.88;509.88;1544.15;2142.62;14.69;10.59;0.528;0.483;3.42;18.37;42.72;43.65;94.92;153.28;721361;720702;716366;31839;149962;198304;55352;48341;478057;44056;101952;429715;327763;23171;266839
2012;UF;17;Tocantins;0.71;0.785;0.676;0.674;0.581;0.729;0.536;0.694;0.512;0.433;0.116;0.242;0.357;24.5;11.6;24.2;35.7;23.8;72.11;18.17;5.56;53.98;91.91;88.7;64.24;46.55;58.12;7.98;11.14;12.08;14.61;97.57;84.56;31.2;79.87;52.64;38.93;10.47;14.73;10.33;91.43;93.47;52.01;14.57;529.31;533.05;1091.4;81.34;106.73;212.59;325.23;521.44;1480.52;2121.46;13.29;9.27;0.507;0.45;4.21;15.19;38.51;34.55;92.54;155.39;1437474;1435656;1425583;51916;265929;355358;94074;89429;1013458;83790;185919;924029;738110;79929;560245
2012;UF;21;Maranhão;0.648;0.739;0.611;0.602;0.508;0.67;0.469;0.631;0.429;0.38;0.146;0.298;0.368;27.6;14.6;29.8;36.8;27.1;69.34;26.33;6.46;58.81;94.97;80.66;54.47;37.87;50.84;6.66;18.7;20.35;24.78;98.14;83.16;25.62;74.54;44.57;29.89;5.03;24.2;19.84;92.13;94.54;45.18;8.08;338.42;342.84;718.12;69.62;53.54;140.7;229.47;363.46;906.09;1255.79;12.93;9.33;0.498;0.452;13.58;29.65;55.08;39.75;74.82;129.69;6765940;6763728;6676468;280173;1307256;1729871;445943;422614;4697907;377862;894560;4275292;3380732;437399;2198223
2012;UF;22;Piauí;0.66;0.753;0.6;0.635;0.475;0.674;0.484;0.658;0.419;0.41;0.126;0.302;0.354;26.7;12.6;30.2;35.4;26.1;70.19;22;8.09;49.7;96.44;80.29;55.16;37.73;47.53;6.54;19.4;21.06;24.97;98.99;88.21;32.61;73.59;41.96;28.28;6.96;27.14;22.05;94.39;97.02;49.15;12.47;415.17;416.6;748.85;67.92;73.71;173.04;278.78;433.79;1116.65;1580.38;12.81;9.05;0.495;0.447;8.94;23.6;45.47;45.62;82.48;137.09;3212635;3207098;3196070;111271;522688;731618;185484;208930;2405808;160944;386695;2196877;1810182;259746;1196276
2012;UF;23;Ceará;0.701;0.796;0.667;0.648;0.54;0.742;0.508;0.708;0.48;0.385;0.111;0.28;0.406;27.6;11.1;28;40.6;26.6;72.78;17.68;7.43;49.7;97.96;88.55;63.24;46.85;53.99;7.19;16.2;17.46;20.95;98.12;83.05;25.28;79.35;47.84;32.71;7.65;17.32;13.44;92.68;95.07;53.36;12.12;451.45;454.7;868.83;69.27;69.71;164.16;264.16;432.18;1326.02;1970.79;16.85;11.34;0.545;0.54;9.72;24.38;48.52;41.56;80.86;137.11;8734806;8715501;8653068;299115;1400633;1927881;512363;527247;6483948;504078;1163626;5956701;4793074;649258;3112441
2012;UF;24;Rio Grande do Norte;0.695;0.827;0.617;0.658;0.519;0.673;0.53;0.739;0.47;0.428;0.106;0.239;0.349;23.8;10.6;23.9;34.9;23.1;74.59;18.21;7.34;47.9;96.06;83.56;50.44;38.97;51.89;7.44;15.25;16.19;19.25;97.66;83.36;28.51;71.24;47.22;33.73;7.39;24.59;18.49;92.49;95.29;44.12;11.28;478.88;481.36;910.9;69.97;89.87;197.67;305.65;473.34;1332.07;1948.66;13.55;9.27;0.508;0.466;7.09;17.8;40.19;42.3;83.13;144.54;3302720;3299449;3282444;104712;506013;687287;179728;181274;2475614;178935;446312;2294339;1848027;242462;1206815
2012;UF;25;Paraíba;0.673;0.78;0.601;0.649;0.47;0.679;0.492;0.686;0.427;0.406;0.12;0.289;0.375;26.9;12;28.9;37.5;26.1;71.8;20.34;8.14;50.3;95.65;81.21;54.5;40.13;47.02;6.72;17.99;19.37;22.75;98.5;82.06;32.59;71.06;41.81;29.8;7.53;23.87;19.42;90.28;92.83;42.58;16.35;453.47;456.93;822.29;64.97;81.37;175.22;283.43;458.61;1269.94;1839.23;14.34;9.9;0.516;0.476;7.2;22.44;45.12;40.58;87.44;141.15;3855184;3849564;3820390;114327;593459;820801;199720;227342;2878617;206900;472119;2651274;2179155;313693;1368351
2012;UF;26;Pernambuco;0.688;0.784;0.616;0.673;0.53;0.664;0.5;0.702;0.456;0.39;0.104;0.259;0.42;27.2;10.4;25.9;42;26.1;72.03;15.97;7.35;49.26;95.01;79.22;51.01;40.41;52.98;7.6;14.72;15.89;18.55;97.66;83.96;28.23;71.22;49;36.31;9.35;25.73;20.82;87.17;89.54;39.94;10.9;525.5;532.09;1065.29;71.82;76.06;178.61;283.58;465.71;1624.92;2489.81;19.55;12.76;0.574;0.595;8.34;20.92;45.33;34.87;79.02;140.52;9071206;9059658;8947491;315458;1472136;2011329;530158;539192;6744065;475420;1111123;6204872;5093748;666624;3191695
2012;UF;27;Alagoas;0.651;0.749;0.587;0.627;0.487;0.645;0.475;0.641;0.413;0.406;0.144;0.296;0.352;26.9;14.4;29.6;35.2;26.4;69.96;26.14;6.26;50.83;93.29;85.72;46.91;32.19;48.66;6.8;18.97;20.54;24.22;97.49;81.61;30.77;65.37;44.75;29.05;7.15;24.04;17.35;91.78;94.45;39.53;10.58;395.06;401.47;836.73;67.29;72.03;167.37;255.14;396.16;1083.08;1559.64;13.03;9.05;0.503;0.447;8.83;23.44;49.6;33.38;81.5;141;3224172;3220687;3169272;121812;552396;762216;193400;209820;2339297;176603;403724;2129476;1725751;201674;1014573
2012;UF;28;Sergipe;0.684;0.775;0.607;0.679;0.523;0.654;0.492;0.682;0.453;0.386;0.12;0.254;0.432;28;12;25.4;43.2;26.9;71.47;20.2;5.98;46.25;97.44;82.04;47.92;34.38;52.29;7.45;15.56;16.85;20.25;98.28;83.32;33.57;67.06;48.59;35.28;9.39;29.68;23.01;90.87;94.72;38.95;16.11;547.2;554.6;1016.73;72.29;79.51;185;293.42;486.73;1698.11;2535.76;19.17;12.84;0.569;0.581;7.58;20.3;44.21;35.06;80.43;142.69;2151985;2148848;2120202;72140;331308;462453;117709;131145;1599991;128780;294097;1468846;1174748;128585;829713
2012;UF;29;Bahia;0.678;0.79;0.593;0.666;0.51;0.639;0.49;0.692;0.43;0.396;0.124;0.275;0.405;27.7;12.4;27.5;40.5;26.8;72.39;21.04;7.2;48.35;93.95;79.64;47.43;34.69;51.02;7.25;15.28;16.29;19.27;97.98;82.77;31.74;69.99;47;35.05;7.24;28.99;23.77;92.86;95.77;40.22;9.71;503.29;508.8;915.53;71.34;74.3;175.07;283.86;460.67;1523.1;2307.48;18.51;12.22;0.563;0.571;8.3;22.56;45.32;39.84;81.24;138.12;14422526;14409938;14253850;458311;2298511;3084160;796339;785648;10761138;764470;1743536;9975490;8231954;1039038;5602545
2012;UF;31;Minas Gerais;0.75;0.852;0.683;0.726;0.555;0.757;0.594;0.778;0.551;0.49;0.087;0.193;0.325;20.8;8.7;19.3;32.5;20.2;76.12;13.27;8.19;43.95;92.26;92.87;67.56;50.07;55.54;8.11;7.77;8.29;9.77;98.69;85.36;28.8;82.82;50.1;36.02;11;14.92;11.47;93.39;95.23;58.06;16.61;734.81;740.45;1217.78;75.11;145.99;308.56;480.59;718.94;2020.06;2928.54;12.89;8.89;0.5;0.441;2.58;8.12;22.4;29.27;85.56;156.45;20225150;20213389;20059348;556868;2815217;3897715;1000014;1082497;15705553;997123;2432921;14623055;12190133;1655800;9072178
2012;UF;32;Espírito Santo;0.758;0.863;0.692;0.73;0.613;0.735;0.603;0.792;0.565;0.491;0.082;0.184;0.327;20.4;8.2;18.4;32.7;19.8;76.78;10.74;7.29;42.85;92.81;82.16;64.21;54.76;61.25;8.63;7.27;7.73;9.03;98.22;81.18;26.57;82.63;57.02;41.87;10.94;19.56;16.27;86.89;89.31;48.03;14.75;750.4;757.32;1252.52;76.18;157.92;320.75;488.91;737.68;2043.96;2877.48;12.02;8.54;0.489;0.411;2.04;6.73;21.06;25.42;87.8;162.36;3686124;3685249;3651580;105586;538844;719083;184967;180239;2849225;186844;441012;2668985;2227973;268859;1667177
2012;UF;33;Rio de Janeiro;0.762;0.832;0.703;0.756;0.691;0.709;0.607;0.758;0.607;0.485;0.089;0.137;0.358;20.4;8.9;13.7;35.8;19.5;74.9;13.21;9.3;42.36;92.86;83.21;58.85;48.75;69.14;9.65;3.2;3.36;3.86;97.99;88.46;31.86;85.4;66.24;49.05;14.76;23.83;19.9;92.92;94.25;51.27;16.56;882.69;894.01;1427.99;72.93;161.5;337.37;525.17;823.83;2566.03;3735.37;14.98;10.29;0.528;0.482;2.61;6.73;19.57;23.14;80.13;159.24;16510152;16496144;16287354;413347;2116357;2910898;775102;794540;13132294;780447;1868008;12337753;10469744;1534655;7407310
2012;UF;35;São Paulo;0.812;0.863;0.792;0.782;0.703;0.84;0.661;0.798;0.68;0.533;0.075;0.141;0.318;18.5;7.5;14.1;31.8;17.8;76.8;11.25;8.7;41.63;94.67;94.65;80.06;66.63;70.27;9.77;3.49;3.69;4.22;98.76;84.94;27.43;91.96;66.32;51.79;17.63;9.53;7;93.48;93.76;67.04;19.6;1037.42;1049.91;1704.44;77.93;209.99;425.34;637.36;980.57;2935.04;4289.63;13.5;9.24;0.511;0.446;1.83;3.86;12.2;13.74;66.7;159.54;43114156;43071215;42558577;1139988;5555922;7579443;1943073;2023521;34194119;2002473;4954369;32170598;27216229;3752222;20292624
2012;UF;41;Paraná;0.772;0.846;0.718;0.757;0.615;0.776;0.624;0.78;0.586;0.531;0.078;0.184;0.299;19.2;7.8;18.4;29.9;18.7;75.76;11.09;8.21;43.46;89.66;91.16;73.02;56.54;61.46;8.65;5.64;6.01;7.07;97.78;79.21;27.82;85.28;56.68;40.6;13.27;12.04;9.44;89.45;91.51;58.19;19.07;887.28;893.81;1455.66;77.61;194.9;388.66;584.43;888.32;2380.16;3388.47;11.61;8.16;0.483;0.404;1.62;4.14;14.81;19.83;76.24;166.65;10808804;10800860;10721987;302130;1473237;2040071;520533;566834;8421662;546940;1314493;7854828;6540334;887079;5052018
2012;UF;42;Santa Catarina;0.792;0.878;0.74;0.764;0.626;0.805;0.664;0.815;0.637;0.565;0.072;0.139;0.261;16.1;7.2;13.9;26.1;15.7;77.7;10.51;7.24;39.97;91.84;93.5;78.47;58.17;62.64;8.95;3.43;3.65;4.24;98.19;83.05;28.72;88.02;57.68;40.86;12.82;10.56;7.7;91.48;93.19;62.38;19.53;927.6;933.55;1467.66;77.74;237.48;466.17;666.11;975.5;2288.46;3147.65;8.95;6.5;0.435;0.326;1.15;3;10.21;20.41;76.9;166.24;6519681;6516794;6475283;180987;868648;1199430;304236;330782;5129675;332223;783936;4798893;4014956;471869;3166374
2012;UF;43;Rio Grande do Sul;0.763;0.86;0.674;0.767;0.595;0.717;0.627;0.796;0.581;0.532;0.075;0.138;0.307;17.9;7.5;13.8;30.7;17.3;76.62;10.8;9.6;43.33;84.57;88.05;68.58;45.42;59.47;8.97;3.96;4.18;4.74;98.3;82.32;30.63;84.01;55.21;40.61;12.23;19.51;15.95;91.64;94.79;54.85;19.61;944.64;950.03;1474.77;72.24;199.62;406.29;601.9;915.36;2600.95;3760.46;12.41;8.59;0.495;0.427;1.37;4.3;14.01;21.75;83.07;164.89;10995534;10990874;10928468;271325;1472574;2037768;551238;565194;8727222;514928;1207490;8162028;6954538;1055770;5040899
2012;UF;50;Mato Grosso do Sul;0.733;0.823;0.657;0.729;0.562;0.71;0.588;0.739;0.53;0.518;0.102;0.193;0.289;19.8;10.2;19.3;28.9;19.5;74.35;16.03;7.06;47.13;92.99;89.94;59.82;41.09;56.24;8.31;7.06;7.57;8.99;98.03;79.7;28.45;77.57;51.43;36.75;10.99;16.53;12.27;91.46;94.85;47.73;16.86;747.3;751.28;1326.28;80.46;178.95;332.26;494.55;739.04;1989.72;2855.52;11.17;7.78;0.475;0.389;1.41;4.73;18.15;24.92;86.29;170.72;2493059;2492409;2479207;82457;373693;504038;133202;130344;1870548;132840;319979;1740203;1420224;176093;1118622
2012;UF;51;Mato Grosso;0.742;0.803;0.694;0.732;0.607;0.742;0.583;0.713;0.55;0.505;0.112;0.208;0.31;21.4;11.2;20.8;31;21;73.16;18.72;6.06;45.32;88.63;86.27;74.17;47.81;60.7;8.4;7.31;7.87;9.32;97.02;85.42;30.79;84.12;55.76;39.53;11.04;13.68;11.01;87.16;88.36;58.04;17.43;758.68;765.05;1389.58;82.03;170.09;332.6;490.6;733.89;2066.58;2982.66;11.87;8.22;0.487;0.409;1.91;6;18.68;21.22;83.43;164.2;3136219;3135087;3109008;106565;481215;657785;167846;176570;2348278;162992;378267;2171708;1793441;190168;1388602
2012;UF;52;Goiás;0.744;0.807;0.698;0.73;0.619;0.741;0.595;0.722;0.565;0.516;0.105;0.19;0.293;20;10.5;19;29.3;19.6;73.41;16.83;5.91;43.9;86.63;88.28;69.88;51.76;61.89;8.61;6.54;7.03;8.4;97.98;84.5;29.49;85.84;56.79;40.36;11.13;13.24;9.34;90.31;91.37;56.7;18.29;749.3;754.17;1320.96;82.56;179.29;332.32;502.59;745.25;1991.56;2839.2;11.1;7.79;0.474;0.383;1.4;4.83;18.91;20.55;89.38;174.95;6315944;6311946;6271197;194849;985087;1338442;338643;353355;4762236;324604;773275;4408881;3635606;372998;2921644
2012;UF;53;Distrito Federal;0.825;0.865;0.768;0.846;0.765;0.77;0.641;0.798;0.671;0.493;0.078;0.126;0.417;22.3;7.8;12.6;41.7;20.7;76.87;11.53;5.62;40.4;91.37;87.26;68.66;60.7;76.49;10.88;2.93;3.08;3.7;97.95;85.65;40.34;87.35;74.2;61.85;26;16.89;13.49;92.24;95.54;57.51;28.19;1546.18;1562.74;2561.74;78.55;193.2;401.77;695.63;1409.14;5030.05;7157.81;24.06;16.91;0.601;0.664;1.45;4.33;14.7;12.45;78.99;163.08;2722198;2715681;2686901;75256;389525;524544;145666;135019;2091831;144483;341300;1956811;1615511;152944;1282642
2013;UF;11;Rondônia;0.687;0.762;0.612;0.694;0.551;0.645;0.531;0.666;0.477;0.471;0.126;0.22;0.322;22.7;12.6;22;32.2;22.3;70.71;21.45;4.85;44.36;83.11;80.23;53.97;40.55;55.09;7.74;7.84;8.47;10.21;97.68;81.01;31.22;77.21;49.83;33.58;8.17;19.62;13.47;83.89;86.03;41.6;13.61;599.8;609.85;1166.74;82.05;120.51;266.15;418.66;631.88;1566.1;2188.59;11.32;8.1;0.475;0.39;3.97;11.04;28.54;25.3;79.79;151.64;1647705;1647435;1620310;57215;270613;371709;96094;101095;1221265;95172;215320;1120170;904849;79899;687561
2013;UF;12;Acre;0.706;0.797;0.658;0.67;0.575;0.704;0.511;0.705;0.472;0.401;0.115;0.283;0.402;27.6;11.5;28.3;40.2;26.7;72.84;19.32;4.32;58.62;86.07;81.66;67.43;46.5;57.46;7.61;14.29;15.61;19.06;96.8;84.67;34.67;77.03;52.11;37;10.08;18.68;18.06;89.5;92.22;55.22;16.32;517.64;526.36;1135.18;76.84;77.75;175.88;293.86;499.86;1529.84;2236.87;17.64;12.06;0.553;0.543;7.95;21.65;44.22;37.47;82.38;138.11;790155;789861;776772;35513;158007;209410;56240;51403;532306;44902;103337;480903;377565;34155;274704
